GEOID,year,name,parent_location,population,poverty_rate,renter_occupied_households,pct_renter_occupied,median_gross_rent,median_household_income,median_property_value,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,eviction_filings,evictions,eviction_rate,eviction_filing_rate,low_flag,imputed,subbed,region
01,2010,Alabama,USA,4779736,13.91,564817,30.32,691,43160,122300,30.9,67.04,26.04,3.88,0.54,1.11,0.04,1.26,0.08,15061,9771,1.73,2.67,0,0,0,Northeast
01,2011,Alabama,USA,4830620,14.46,573419,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,16637,10670,1.86,2.9,0,0,0,Northeast
01,2012,Alabama,USA,4830620,14.46,582021,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,20797,11424,1.96,3.57,0,0,0,Northeast
01,2013,Alabama,USA,4830620,14.46,590623,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,22873,11379,1.93,3.87,0,0,0,Northeast
01,2014,Alabama,USA,4830620,14.46,599224,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,22778,10104,1.69,3.8,0,0,0,Northeast
01,2015,Alabama,USA,4830620,14.46,607826,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,22507,10929,1.8,3.7,0,0,0,Northeast
01,2016,Alabama,USA,4830620,14.46,616428,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,24294,11213,1.82,3.94,0,0,0,Northeast
04,2010,Arizona,USA,6392017,12.43,175596,33.99,891,50256,175900,31,57.82,3.74,29.65,4.03,2.67,0.17,1.79,0.13,13149,7634,4.35,7.49,1,0,0,North Central
04,2011,Arizona,USA,6641928,13.29,179892,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,13244,7066,3.93,7.36,1,0,0,North Central
04,2012,Arizona,USA,6641928,13.29,184188,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,13790,8235,4.47,7.49,1,0,0,North Central
04,2013,Arizona,USA,6641928,13.29,199114,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,14339,8632,4.34,7.2,1,0,0,North Central
04,2014,Arizona,USA,6641928,13.29,203620,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,7808,6375,3.13,3.83,1,0,0,North Central
04,2015,Arizona,USA,6641928,13.29,208123,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,9434,8209,3.94,4.53,1,0,0,North Central
04,2016,Arizona,USA,6641928,13.29,212626,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,12132,8339,3.92,5.71,1,0,0,North Central
05,2010,Arkansas,USA,2915918,14.08,378928,33.03,649,40531,106300,29.7,74.54,15.33,6.38,0.69,1.22,0.19,1.57,0.07,1986,NA,NA,0.52,0,0,0,West
05,2011,Arkansas,USA,2958208,14.25,386129,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,1789,NA,NA,0.46,0,0,0,West
05,2012,Arkansas,USA,2958208,14.25,393331,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,1716,NA,NA,0.44,0,0,0,West
05,2013,Arkansas,USA,2958208,14.25,400532,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,2029,NA,NA,0.51,0,0,0,West
05,2014,Arkansas,USA,2958208,14.25,407733,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,1883,NA,NA,0.46,0,0,0,West
05,2015,Arkansas,USA,2958208,14.25,414935,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,2565,NA,NA,0.62,0,0,0,West
05,2016,Arkansas,USA,2958208,14.25,422136,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,2963,NA,NA,0.7,0,0,0,West
06,2010,California,USA,37253956,11.47,4980453,44.06,1209,61400,383900,33.5,40.15,5.81,37.62,0.44,12.82,0.35,2.6,0.23,110779,96363,1.93,2.22,1,0,0,Northeast
06,2011,California,USA,38421464,12.18,4488791,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,82173,71103,1.58,1.83,1,0,0,Northeast
06,2012,California,USA,38421464,12.18,4519903,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,73144,63284,1.4,1.62,1,0,0,Northeast
06,2013,California,USA,38421464,12.18,4569754,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,68656,58970,1.29,1.5,1,0,0,Northeast
06,2014,California,USA,38421464,12.18,4915846,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,65454,55626,1.13,1.33,1,0,0,Northeast
06,2015,California,USA,38421464,12.18,4838246,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,51875,44294,0.92,1.07,1,0,0,Northeast
06,2016,California,USA,38421464,12.18,4947085,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,47079,41178,0.83,0.95,1,0,0,Northeast
08,2010,Colorado,USA,5029196,8.87,561305,34.46,915,58244,236800,30.8,70.01,3.75,20.65,0.62,2.7,0.11,2.01,0.15,37220,21444,3.82,6.63,0,0,0,South
08,2011,Colorado,USA,5278906,8.49,502464,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,32412,18269,3.64,6.45,0,0,0,South
08,2012,Colorado,USA,5278906,8.49,437226,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,27013,14510,3.32,6.18,0,0,0,South
08,2013,Colorado,USA,5278906,8.49,315782,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,13542,7130,2.26,4.29,0,0,0,South
08,2014,Colorado,USA,5278906,8.49,305473,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,12708,6728,2.2,4.16,0,0,0,South
08,2015,Colorado,USA,5278906,8.49,336706,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,13051,6467,1.92,3.88,0,0,0,South
08,2016,Colorado,USA,5278906,8.49,661532,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,36240,18195,2.75,5.48,0,0,0,South
09,2010,Connecticut,USA,3574097,7.11,348646,32.51,1044,69519,285900,31.8,71.24,9.38,13.4,0.19,3.75,0.03,1.66,0.34,14174,10402,2.98,4.07,1,0,0,North Central
09,2011,Connecticut,USA,3593222,7.55,354079,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,14751,10850,3.06,4.17,1,0,0,North Central
09,2012,Connecticut,USA,3593222,7.55,359511,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,14286,10339,2.88,3.97,1,0,0,North Central
09,2013,Connecticut,USA,3593222,7.55,364945,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,13330,10105,2.77,3.65,1,0,0,North Central
09,2014,Connecticut,USA,3593222,7.55,370379,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,15349,11655,3.15,4.14,1,0,0,North Central
09,2015,Connecticut,USA,3593222,7.55,446458,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,16360,12433,2.78,3.66,1,0,0,North Central
09,2016,Connecticut,USA,3593222,7.55,452973,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,17470,13760,3.04,3.86,1,0,0,North Central
10,2010,Delaware,USA,897934,7.61,95573,27.92,985,60119,241100,31.1,65.34,20.8,8.15,0.31,3.15,0.03,2.04,0.17,17840,6083,6.36,18.67,0,0,0,West
10,2011,Delaware,USA,926454,8.19,97526,28.83,1018,60509,231500,29.9,63.89,21.05,8.71,0.27,3.6,0.02,2.22,0.23,19174,6686,6.86,19.66,0,0,0,West
10,2012,Delaware,USA,926454,8.19,99478,28.83,1018,60509,231500,29.9,63.89,21.05,8.71,0.27,3.6,0.02,2.22,0.23,18300,5813,5.84,18.4,0,0,0,West
